Carimbo de data/hora;Neologismo;Classe gramatical;Tipologia;Elaborado por:;Contexto 1;Fonte 1;Contexto 2;Fonte 2;Contexto 3;Fonte 3
14/02/2023 20:01;não binário;substantivo e adjetivo;derivação prefixal;;Jovem não binário terá identidade de gênero incluída na certidão de nascimento após acionar a Defensoria Pública;https://g1.globo.com/ba/bahia/noticia/2022/07/06/baiano-nao-binario-tera-identidade-de-genero-incluida-na-certidao-de-nascimento-apos-acionar-a-defensoria-publica.ghtml;Ex-Malhação se declara trans não binária e anuncia novo nome;https://www.metropoles.com/entretenimento/televisao/ex-malhacao-se-declara-trans-nao-binaria-e-anuncia-novo-nome;Grammy 2023: confira a lista completa de vencedores da premiação A cerimônia foi uma das mais diversas da história e premiou artistas latinos, trans e não-binários;https://veja.abril.com.br/coluna/o-som-e-a-furia/grammy-2023-confira-a-lista-completa-de-vencedores-da-premiacao/
02/05/2023 00:04;terraplanista;adjetivo;derivação sufixal;Matheus Lima;Terraplanistas são aqueles que consideram que a superfície da Terra é plana, que ela está parada e o Sol e a Lua seriam menores e mais próximos do que os cientistas dizem. Algumas pessoas acreditam nessa teoria e dentre elas está o zagueiro Pablo, do Flamengo, segundo o portal UOL.;https://extra.globo.com/esporte/flamengo/pablo-do-flamengo-acredita-que-terra-plana-segue-perfis-que-defendem-tema-25673937.html;É falso o convite que está circulando nos grupos de Whatsapp para um evento denominado II Encontro de Terraplanistas em Marataízes em nome da Direita Marataízes.;https://diaadiaes.com.br/e-falso-que-a-direita-marataizes-esteja-realizando-encontro-de-terraplanistas/;A maioria esmagadora dos brasileiros (75%) apoia a democracia, segundo o Datafolha, divulgado nesta sexta (19). Já 7% preferem a ditadura - coincidentemente, a mesma porcentagem de terraplanistas por aqui.;https://noticias.uol.com.br/colunas/leonardo-sakamoto/2022/08/19/brasileiros-que-preferem-ditadura-somam-7-mesmo-numero-de-terraplanistas.htm?cmpid=copiaecola
10/06/2023 14:31;pré-pandemia;adjetivo e substantivo masculino;derivação prefixal;Julia;Transporte aéreo de carga e oferta doméstica superam índices pré-pandemia;https://www.gov.br/anac/pt-br/noticias/2023/transporte-aereo-de-carga-e-oferta-domestica-superam-indices-pre-pandemia;Entrada de turistas receptivos internacionais no país supera o pré-pandemia no primeiro trimestre deste ano;https://www.gov.br/turismo/pt-br/assuntos/noticias/entrada-de-turistas-receptivos-internacionais-no-pais-supera-o-pre-pandemia-no-primeiro-trimestre-deste-ano;Gastos de brasileiros com viagens internacionais podem não voltar ao nível pré-pandemia, diz BC;https://www.cnnbrasil.com.br/economia/gastos-de-brasileiros-com-viagens-internacionais-podem-nao-voltar-ao-nivel-pre-pandemia-diz-bc/
06/08/2023 19:17;ecofriendly;adjetivo;empréstimo;Julia;Praia 'eco-friendly': conheça quatro marcas envolvidas com a causa;https://oglobo.globo.com/ela/moda/noticia/2023/07/15/praia-eco-friendly-conheca-quatro-marcas-envolvidas-com-a-causa.ghtml;Ser eco-friendly é charmoso? Bumble revela como a sustentabilidade influencia na paquera;https://exame.com/tecnologia/amor-verde-como-o-ambientalismo-tem-afetado-a-paquera-em-apps-de-relacionamento/;Manutenção Predial sustentável: as melhores práticas eco-friendly para transformar o edifício em um modelo de eficiência;https://g1.globo.com/rj/rio-de-janeiro/especial-publicitario/araujo-abreu/noticia/2023/07/16/manutencao-predial-sustentavel-as-melhores-praticas-eco-friendly-para-transformar-o-edificio-em-um-modelo-de-eficiencia.ghtml
06/08/2023 19:23;desinformativo;adjetivo;derivação prefixal;Julia;Moraes determina a remoção de 135 postagens com conteúdo desinformativo;https://www.cnnbrasil.com.br/politica/moraes-determina-a-remocao-de-135-postagens-com-conteudo-desinformativo/;Confira abaixo como os vídeos desinformativos fazem montagens inserindo vaias ou aplausos para criticar ou inflar o apoio a políticos, como o presidente Luiz Inácio Lula da Silva (PT) e o ex-presidente Jair Bolsonaro (PL);https://www.terra.com.br/noticias/checamos/tiktok-permite-trend-de-videos-com-audio-manipulado,a96248805820b9937738e91f110731a2lv0pwgpe.html?utm_source=clipboard;Perfis desinformativos que acumulam mais de 500 mil seguidores no Twitter têm “sequestrado” obituários noticiados pela imprensa para fazer acusações infundadas contra a vacina de covid-19;https://www.estadao.com.br/estadao-verifica/perfis-no-twitter-sequestram-obituarios-para-espalhar-desinformacao-sobre-vacina/
24/08/2023 09:51;antivacina;substantivo e adjetivo;derivação prefixal;Matheus Lima;Jarbas Barbosa, diretor da Organização Pan-Americana da Saúde (OPAS), braço da Organização Mundial da Saúde (OMS), disse neste sábado (22) que a pandemia de Covid-19 afetou a vacinação de outros imunizantes, principalmente por conta dos discursos antivacina, que ganharam força nesse período.;https://www.cnnbrasil.com.br/saude/discurso-antivacina-na-pandemia-afetou-outros-imunizantes-diz-oms/;Por trás dos antivacinas ou sommeliers existe uma gama de fatores individuais, culturais, políticos e econômicos;https://exame.com/ciencia/estudo-sommelier-anti-vacina/;"Segundo o vereador, o evento pode ""configurar crime contra a saúde pública"" e mostra ""vinculação da vereadora ao movimento antivacina"".";https://g1.globo.com/rs/rio-grande-do-sul/noticia/2023/08/09/video-evento-com-medicos-antivacina-e-defensores-do-kit-covid-e-promovido-na-camara-de-vereadores-de-porto-alegre.ghtml
11/11/2023 16:12;pré-covid;substantivo masculino e adjetivo;derivação prefixal;Geideane;"No G7, o PIB superou o nível pré-covid em 4,0%, embora o do Reino Unido continue ""levemente abaixo"" do nível pré-pandemia, segundo a OCDE";https://exame.com/mundo/pib-dos-paises-integrantes-da-ocde-sobe-04-no-2o-trimestre-ante-o-anterior/;Cientista-chefe da OMS diz que modo de vida pré-Covid pode não retornar até 2022;https://www.cnnbrasil.com.br/saude/cientista-chefe-da-oms-diz-que-modo-de-vida-pre-covid-pode-nao-retornar-ate-2022/;‘Pré-Covid’: fenômeno que faz sintomas aparecerem dias antes do teste positivo volta a com a variante Eris;https://agenciaaids.com.br/noticia/pre-covid-fenomeno-que-faz-sintomas-aparecerem-dias-antes-do-teste-positivo-volta-a-com-a-variante-eris/
11/11/2023 16:38;refabricado;adjetivo;derivação prefixal;Geideane;A opção então é comprar um novo um pouco mais barato ou dar chance a uma categoria bastante tímida, mas que vem ganhando espaço no mercado nacional: os celulares refabricados;https://olhardigital.com.br/2019/12/27/videos/celulares-refabricados/;Em compensação, às vezes com um risquinho ou sem qualquer marca de uso, o aparelho refabricado tem um valor bem mais baixo do que um smartphone igual novo;https://olhardigital.com.br/2019/12/27/videos/celulares-refabricados/;Smartphone refabricado é opção barata e ecológica de ter um topo de linha antigo;https://canaltech.com.br/smartphone/smartphone-refabricado-e-opcao-barata-e-ecologica-de-ter-um-topo-de-linha-antigo-150869/
11/11/2023 20:57;multitela;substantivo feminino e adjetivo;derivação prefixal;Julia;COB lança canal multitela para a transmissão do Pan 2023;https://www.bol.uol.com.br/esporte/2023/10/24/cob-lanca-canal-multitela-para-a-transmissao-do-pan-2023.htm;YouTube TV testa multitela para que fãs de esportes possam ver vários jogos ao mesmo tempo;https://www.mundoconectado.com.br/esporte/youtube-tv-testa-multitela-para-que-fas-de-esportes-possam-ver-varios-jogos-ao-mesmo-tempo/;Como usar a função Multitela para ver até quatro conteúdos simultâneos nas TVs Samsung;https://news.samsung.com/br/como-usar-a-funcao-multitela-para-ver-ate-quatro-conteudos-simultaneos-nas-tvs-samsung
13/11/2023 08:34;cringe;adjetivo;empréstimo;Karina;Biscoitar', 'crush', 'flopar', 'date' e 'cringe': ChatGPT explica principais termos usados pela geração Z;https://g1.globo.com/df/distrito-federal/noticia/2023/06/28/biscoitar-crush-flopar-date-e-cringe-chatgpt-explica-principais-termos-usados-pela-geracao-z.ghtml;Eu sou cringe e você também;https://www.estadao.com.br/cultura/no-sofa/eu-sou-cringe-e-voce-tambem/;“Cringe, para os integrantes da geração Z, é um adjetivo usado para classificar pessoas que fazem coisas fora de moda, ultrapassadas, cafonas mesmo. Eles também costumam classificar atitudes ou objetos. Nesse caso, ela é usada como sinônimo de vergonha alheia”;https://g1.globo.com/pop-arte/noticia/2021/06/23/cringe-entenda-o-termo-e-saiba-como-ele-virou-polemica-nas-redes-sociais.ghtml
